Vocab Size,Part 1,Part 2,Part 3,Part 4,Part 5,Average
500.0,0.035,0.02,0.011,0.042,0.025,0.026600000000000002
1000.0,0.056,0.019,0.01,0.041,0.032,0.0316
2000.0,0.067,0.034,0.022,0.044,0.025,0.0384
4000.0,0.079,0.041,0.018,0.065,0.034,0.0474
8000.0,0.069,0.032,0.026,0.067,0.038,0.046400000000000004
10000.0,0.097,0.055,0.008,0.067,0.031,0.0516
12500.0,0.09,0.038,0.021,0.064,0.034,0.0494
