Vocab Size,Part 1,Part 2,Part 3,Part 4,Part 5,Average
500.0,0.043,0.031,0.112,0.033,0.021,0.048
1000.0,0.034,0.036,0.124,0.035,0.037,0.053200000000000004
2000.0,0.052,0.051,0.156,0.049,0.041,0.0698
4000.0,0.06,0.045,0.188,0.048,0.04,0.07619999999999999
8000.0,0.078,0.057,0.18,0.046,0.048,0.0818
10000.0,0.067,0.064,0.2,0.045,0.051,0.0854
12500.0,0.086,0.057,0.24,0.057,0.046,0.0972
