Vocab Size,Part 1,Part 2,Part 3,Part 4,Part 5,Average
500.0,0.03,0.037,0.025,0.018,0.086,0.0392
1000.0,0.046,0.056,0.028,0.03,0.11,0.054000000000000006
2000.0,0.062,0.062,0.036,0.034,0.12,0.0628
4000.0,0.059,0.063,0.041,0.037,0.137,0.0674
8000.0,0.068,0.088,0.044,0.047,0.17,0.0834
10000.0,0.072,0.081,0.043,0.045,0.165,0.08120000000000001
12500.0,0.073,0.061,0.045,0.038,0.167,0.07680000000000001
